n k L iter filesize runtime storage
900 300 200 500 1.92 3.39808 14.4
900 300 400 500 3.84 6.6 20.16
900 300 800 500 7.68 13.3356 31.68
900 300 1200 500 11.52 20.1885 43.2
900 300 1600 500 15.36 26.7799 54.72
900 300 2000 500 19.2 33.5785 66.24
900 300 2400 500 23.04 39.8083 77.76
900 300 2800 500 26.88 46.4717 89.28
900 300 3000 500 28.8 49.8459 95.04
