n k L iter filesize runtime storage
90 30 2000 500 1.92 0.344092 5.8464
90 30 4000 500 3.84 0.681656 11.6064
90 30 6000 500 5.76 1.02818 17.3664
90 30 8000 500 7.68 1.4512 23.1264
90 30 10000 500 9.6 1.87974 28.8864
90 30 12000 500 11.52 2.3304 34.6464
90 30 14000 500 13.44 2.63914 40.4064
90 30 16000 500 15.36 2.80317 46.1664
